Type,KUKSAT
K0528,Knowledge of satellite-based communication systems.
K0529,Knowledge of scripting
K0530,"Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation."
K0531,Knowledge of security implications of software configurations.
K0532,"Knowledge of specialized target language (e.g., acronyms, jargon, technical terminology, code words)."
K0533,"Knowledge of specific target identifiers, and their usage."
K0534,"Knowledge of staff management, assignment, and allocation processes."
K0535,Knowledge of strategies and tools for target research.
K0536,"Knowledge of structure, approach, and strategy of exploitation tools (e.g., sniffers, keyloggers) and techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network)."
K0537,"Knowledge of system administration concepts for the Unix/Linux and Windows operating systems (e.g., process management, directory structure, installed applications, Access Controls)."
K0538,"Knowledge of target and threat organization structures, critical capabilities, and critical vulnerabilities"
K0539,"Knowledge of target communication profiles and their key elements (e.g., target associations, activities, communication infrastructure)."
K0540,Knowledge of target communication tools and techniques.
K0541,"Knowledge of target cultural references, dialects, expressions, idioms, and abbreviations."
K0542,"Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.)."
K0543,Knowledge of target estimated repair and recuperation times.
K0544,Knowledge of target intelligence gathering and operational preparation techniques and life cycles.
K0545,Knowledge of target language(s).
K0546,"Knowledge of target list development (i.e. Restricted, Joint, Candidate, etc.)."
K0547,Knowledge of target methods and procedures.
K0548,Knowledge of target or threat cyber actors and procedures.
K0549,Knowledge of target vetting and validation procedures.
K0550,"Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference."
K0551,Knowledge of targeting cycles.
K0552,Knowledge of tasking mechanisms.
K0553,Knowledge of tasking processes for organic and subordinate collection assets.
K0554,"Knowledge of tasking, collection, processing, exploitation and dissemination."
K0555,Knowledge of TCP/IP networking protocols.
K0556,Knowledge of telecommunications fundamentals.
K0557,"Knowledge of terminal or environmental collection (process, objectives, organization, targets, etc.)."
K0558,Knowledge of the available tools and applications associated with collection requirements and collection management.
K0559,"Knowledge of the basic structure, architecture, and design of converged applications."
K0560,"Knowledge of the basic structure, architecture, and design of modern communication networks."
K0561,"Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection)."
K0562,"Knowledge of the capabilities and limitations of new and emerging collection capabilities, accesses and/or processes."
K0563,"Knowledge of the capabilities, limitations and tasking methodologies of internal and external collections as they apply to planned cyber activities."
K0564,"Knowledge of the characteristics of targeted communication networks (e.g., capacity, functionality, paths, critical nodes)."
K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications."
K0566,Knowledge of the critical information requirements and how they're used in planning.
K0567,Knowledge of the data flow from collection origin to repositories and tools. 
K0568,Knowledge of the definition of collection management and collection management authority.
K0569,"Knowledge of the existent tasking, collection, processing, exploitation and dissemination architecture."
K0570,Knowledge of the factors of threat that could impact collection operations.
K0571,Knowledge of the feedback cycle in collection processes.
K0572,Knowledge of the functions and capabilities of internal teams that emulate threat activities to benefit the organization.
K0573,Knowledge of the fundamentals of digital forensics to extract actionable intelligence.
K0574,Knowledge of the impact of language analysis on on-net operator functions.
K0575,Knowledge of the impacts of internal and external partner staffing estimates.
K0576,Knowledge of the information environment.
K0577,"Knowledge of the intelligence frameworks, processes, and related systems."
K0578,Knowledge of the intelligence requirements development and request for information processes.
K0579,"Knowledge of the organization, roles and responsibilities of higher, lower and adjacent sub-elements."
K0580,Knowledge of the organization’s established format for collection plan.
K0581,"Knowledge of the organization’s planning, operations and targeting cycles."
K0582,Knowledge of the organizational planning and staffing process.
K0583,Knowledge of the organizational plans/directives/guidance that describe objectives.
K0584,Knowledge of the organizational policies/procedures for temporary transfer of collection authority.
K0585,"Knowledge of the organizational structure as it pertains to full spectrum cyber operations, including the functions, responsibilities, and interrelationships among distinct internal elements."
K0586,Knowledge of the outputs of course of action and exercise analysis.
K0587,"Knowledge of the POC’s, databases, tools and applications necessary to establish environment preparation and surveillance products."
K0588,"Knowledge of the priority information requirements from subordinate, lateral and higher levels of the organization."
K0589,Knowledge of the process used to assess the performance and impact of operations.
K0590,Knowledge of the processes to synchronize operational assessment procedures with the critical information requirement process.
K0591,Knowledge of the production responsibilities and organic analysis and production capabilities.
K0592,Knowledge of the purpose and contribution of target templates.
K0593,"Knowledge of the range of cyber operations and their underlying intelligence support needs, topics, and focus areas."
K0594,"Knowledge of the relationships between end states, objectives, effects, lines of operation, etc."
K0595,"Knowledge of the relationships of operational objectives, intelligence requirements, and intelligence production tasks."
K0596,Knowledge of the request for information process. 
K0597,Knowledge of the role of network operations in supporting and facilitating other organization operations.
K0598,"Knowledge of the structure and intent of organization specific plans, guidance and authorizations."
K0599,"Knowledge of the structure, architecture, and design of modern digital and telephony networks. "
K0600,"Knowledge of the structure, architecture, and design of modern wireless communications systems."
K0601,Knowledge of the systems/architecture/communications used for coordination.
K0602,Knowledge of collection disciplines and capabilities.
K0603,Knowledge of the ways in which targets or threats use the Internet.
K0604,Knowledge of threat and/or target systems.
K0605,"Knowledge of tipping, cueing, mixing, and redundancy."
K0606,"Knowledge of transcript development processes and techniques (e.g., verbatim, gist, summaries)."
K0607,Knowledge of translation processes and techniques.
K0608,"Knowledge of Unix/Linux and Windows operating systems structures and internals (e.g., process management, directory structure, installed applications)."
K0609,Knowledge of virtual machine technologies.
K0610,"Knowledge of virtualization products (VMware, Virtual PC)."
K0612,Knowledge of what constitutes a “threat” to a network.
K0613,"Knowledge of who the organization’s operational planners are, how and where they can be contacted, and what are their expectations."
K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
K0615,Knowledge of privacy disclosure statements based on current laws.
K0616,"Knowledge of continuous monitoring, its processes, and Continuous Diagnostics and Mitigation (CDM) program activities."
K0617,Knowledge of Automated security control assessments
K0618,"Knowledge of hardware asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions."
K0619,"Knowledge of software asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions."
K0620,Knowledge of continuous monitoring technologies and tools.
K0621,Knowledge of risk scoring.
K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
K0623,Knowledge of risk assessment methodologies.
K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
K0625,Knowledge that patching and software updates are impractical for some networked devices. 
K0626,Knowledge of secure update mechanisms.
K0627,Knowledge of the importance of ingress filtering to protect against automated threats that rely on spoofed network addresses.
K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations."
K0629,Knowledge of white/black listing
K0630,"Knowledge of the latest intrusion techniques, methods and documented intrusions external to the organization."
K0631,Knowledge of collection management authority(ies).
K0632,Knowledge of security and privacy controls
K0633,"Knowledge of system design tools, methods and techniques."
K0634,"Knowledge of exploitation techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network)."
S0001,Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.
S0002,Skill in allocating storage capacity in the design of data management systems.
S0003,"Skill of identifying, capturing, containing, and reporting malware."
S0004,Skill in analyzing network traffic capacity and performance characteristics.
S0005,Skill in applying and incorporating information technologies into proposed solutions.
S0006,"Skill in applying confidentiality, integrity, and availability principles."
S0007,"Skill in applying host/network access controls (e.g., access control list)."
S0008,Skill in applying organization-specific systems analysis principles and techniques.
S0010,Skill in conducting capabilities and requirements analysis.
S0011,Skill in conducting information searches.
S0012,"Skill in conducting knowledge mapping (e.g., map of knowledge repositories)."
S0013,Skill in conducting queries and developing algorithms to analyze data structures.
S0014,Skill in conducting software debugging.
S0015,Skill in conducting test events.
S0016,Skill in configuring and optimizing software.
S0017,Skill in creating and utilizing mathematical or statistical models.
S0018,Skill in creating policies that reflect system security objectives.
S0019,"Skill in creating programs that validate and process multiple inputs including command line arguments, environmental variables, and input streams."
S0020,Skill in developing and deploying signatures.
S0021,"Skill in designing a data analysis structure (i.e., the types of data a test must generate and how to analyze that data)."
S0022,Skill in designing countermeasures to identified security risks.
S0023,Skill in designing security controls based on cybersecurity principles and tenets.
S0024,Skill in designing the integration of hardware and software solutions.
S0025,"Skill in detecting host and network based intrusions via intrusion detection technologies (e.g., Snort)."
S0026,Skill in determining an appropriate level of test rigor for a given system.
S0027,"Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes."
S0028,Skill in developing data dictionaries.
S0029,Skill in developing data models.
S0030,Skill in developing operations-based testing scenarios.
S0031,Skill in developing and applying security system access controls.
S0032,"Skill in developing, testing, and implementing network infrastructure contingency and recovery plans."
S0033,Skill in diagnosing connectivity problems.
S0034,"Skill in discerning the protection needs (i.e., security controls) of information systems and networks."
S0035,Skill in establishing a routing schema.
S0036,Skill in evaluating the adequacy of security designs.
S0037,Skill in generating queries and reports.
S0038,"Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
S0039,Skill in identifying possible causes of degradation of system performance or availability and initiating actions needed to mitigate this degradation.
S0040,"Skill in implementing, maintaining, and improving established network security practices."
S0041,"Skill in installing, configuring, and troubleshooting LAN and WAN components such as routers, hubs, and switches."
S0042,"Skill in maintaining databases. (i.e., backup, restore, delete data, transaction log files, etc.)."
S0043,"Skill in maintaining directory services. (e.g., Microsoft Active Directory, LDAP, etc.)."
S0044,Skill in mimicking threat behaviors.
S0045,Skill in optimizing database performance.
S0046,"Skill in performing packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump)."
S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
S0048,Skill in systems integration testing.
S0049,Skill in the measuring and reporting of intellectual capital.
S0050,"Skill in design modeling and building use cases (e.g., unified modeling language)."
S0051,Skill in the use of penetration testing tools and techniques.
S0052,"Skill in the use of social engineering techniques. (e.g., phishing, baiting, tailgating, etc.)."
S0053,Skill in tuning sensors.
S0054,Skill in using incident handling methodologies.
S0055,Skill in using knowledge management technologies.
S0056,"Skill in using network management tools to analyze network traffic patterns (e.g., simple network management protocol)."
S0057,Skill in using protocol analyzers.
S0058,"Skill in using the appropriate tools for repairing software, hardware, and peripheral equipment of a system."
S0059,Skill in using Virtual Private Network (VPN) devices and encryption.
S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++)."
S0061,Skill in writing test plans.
S0062,Skill in analyzing memory dumps to extract information.
S0063,Skill in collecting data from a variety of cyber defense resources.
S0064,Skill in developing and executing technical training programs and curricula.
S0065,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)."
S0066,Skill in identifying gaps in technical capabilities.
S0067,"Skill in identifying, modifying, and manipulating applicable system components within Windows, Unix, or Linux (e.g., passwords, user accounts, files)."
S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
S0069,Skill in setting up a forensic workstation.
S0070,Skill in talking to others to convey information effectively.
S0071,"Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK)."
S0072,Skill in using scientific rules and methods to solve problems.
S0073,"Skill in using virtual machines. (e.g., Microsoft Hyper-V, VMWare vSphere, Citrix XenDesktop/Server, Amazon Elastic Compute Cloud, etc.)."
S0074,Skill in physically disassembling PCs.
S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
S0076,"Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, antivirus software, anti-spyware)."
S0077,Skill in securing network communications.
S0078,Skill in recognizing and categorizing types of vulnerabilities and associated attacks.
S0079,"Skill in protecting a network against malware. (e.g., NIPS, anti-malware, restrict/prevent external devices, spam filters)."
S0080,Skill in performing damage assessments.
S0081,"Skill in using network analysis tools to identify vulnerabilities. (e.g., fuzzing, nmap, etc.)."
S0082,Skill in evaluating test plans for applicability and completeness.
S0083,Skill in integrating black box security testing tools into quality assurance process of software releases.
S0084,"Skill in configuring and utilizing network protection components (e.g., Firewalls, VPNs, network intrusion detection systems)."
S0085,Skill in conducting audits or reviews of technical systems.
S0086,Skill in evaluating the trustworthiness of the supplier and/or product.
S0087,"Skill in deep analysis of captured malicious code (e.g., malware forensics)."
S0088,"Skill in using binary analysis tools (e.g., Hexedit, command code xxd, hexdump)."
S0089,"Skill in one-way hash functions (e.g., Secure Hash Algorithm [SHA], Message Digest Algorithm [MD5])."
S0090,Skill in analyzing anomalous code as malicious or benign.
S0091,Skill in analyzing volatile data.
S0092,Skill in identifying obfuscation techniques.
S0093,"Skill in interpreting results of debugger to ascertain tactics, techniques, and procedures."
S0094,Skill in reading Hexadecimal data.
S0095,"Skill in identifying common encoding techniques (e.g., Exclusive Disjunction [XOR], American Standard Code for Information Interchange [ASCII], Unicode, Base64, Uuencode, Uniform Resource Locator [URL] encode)."
S0096,"Skill in reading and interpreting signatures (e.g., snort)."
S0097,Skill in applying security controls.
S0100,"Skill in utilizing or developing learning activities (e.g., scenarios, instructional games, interactive exercises). "
S0101,"Skill in utilizing technologies (e.g., SmartBoards, websites, computers, projectors) for instructional purposes. "
S0102,Skill in applying technical delivery capabilities.
S0103,Skill in assessing the predictive power and subsequent generalizability of a model.
S0104,Skill in conducting Test Readiness Reviews.
S0106,"Skill in data pre-processing (e.g., imputation, dimensionality reduction, normalization, transformation, extraction, filtering, smoothing)."
S0107,Skill in designing and documenting overall program Test & Evaluation strategies.
S0108,Skill in developing workforce and position qualification standards.
S0109,Skill in identifying hidden patterns or relationships.
S0110,"Skill in identifying Test & Evaluation infrastructure (people, ranges, tools, instrumentation) requirements."
S0111,Skill in interfacing with customers.
S0112,"Skill in managing test assets, test resources, and test personnel to ensure effective completion of test events."
S0113,Skill in performing format conversions to create a standard representation of the data.
S0114,Skill in performing sensitivity analysis.
S0115,Skill in preparing Test & Evaluation reports.
S0116,Skill in designing multi-level security/cross domain solutions.
S0117,Skill in providing Test & Evaluation resource estimate.
S0118,Skill in developing machine understandable semantic ontologies.
S0119,"Skill in Regression Analysis (e.g., Hierarchical Stepwise, Generalized Linear Model, Ordinary Least Squares, Tree-Based Methods, Logistic)."
S0120,Skill in reviewing logs to identify evidence of past intrusions.
S0121,"Skill in system, network, and OS hardening techniques. (e.g., remove unnecessary services, password policies, network segmentation, enable logging, least privilege, etc.)."
S0122,Skill in the use of design methods. 
S0123,"Skill in transformation analytics (e.g., aggregation, enrichment, processing)."
S0124,Skill in troubleshooting and diagnosing cyber defense infrastructure anomalies and work through resolution.
S0125,"Skill in using basic descriptive statistics and techniques (e.g., normality, model distribution, scatter plots)."
S0126,"Skill in using data analysis tools (e.g., Excel, STATA SAS, SPSS)."
S0127,Skill in using data mapping tools.
S0128,Skill in using manpower and personnel IT systems.
S0129,Skill in using outlier identification and removal techniques.
S0130,"Skill in writing scripts using R, Python, PIG, HIVE, SQL, etc."
S0131,Skill in analyzing malware.
S0132,Skill in conducting bit-level analysis.
S0133,"Skill in processing digital evidence, to include protecting and making legally sound copies of evidence."
S0134,Skill in conducting reviews of systems.
S0135,"Skill in secure test plan design (e. g. unit, integration, system, acceptance)."
S0136,"Skill in network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools."
S0137,Skill in conducting application vulnerability assessments.
S0138,"Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic)."
S0139,"Skill in applying security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model)."
S0140,Skill in applying the systems engineering process.
S0141,Skill in assessing security systems designs.
S0142,Skill in conducting research for troubleshooting novel client-level problems.
S0143,"Skill in conducting system/server planning, management, and maintenance."
S0144,Skill in correcting physical and technical problems that impact system/server performance.
S0145,Skill in integrating and applying policies that meet system security objectives.
S0146,"Skill in creating policies that enable systems to meet performance objectives (e.g. traffic routing, SLA's, CPU specifications)."
S0147,"Skill in assessing security controls based on cybersecurity principles and tenets. (e.g., CIS CSC, NIST SP 800-53, Cybersecurity Framework, etc.)."
S0148,"Skill in designing the integration of technology processes and solutions, including legacy systems and modern programming languages. "
S0149,"Skill in developing applications that can log and handle errors, exceptions, and application faults and logging."
S0150,Skill in implementing and testing network infrastructure contingency and recovery plans.
S0151,"Skill in troubleshooting failed system components (i.e., servers)"
S0152,"Skill in translating operational requirements into protection needs (i.e., security controls)."
S0153,"Skill in identifying and anticipating system/server performance, availability, capacity, or configuration problems."
S0154,"Skill in installing system and component upgrades. (i.e., servers, appliances, network devices)."
S0155,Skill in monitoring and optimizing system/server performance.
S0156,Skill in performing packet-level analysis.
S0157,"Skill in recovering failed systems/servers. (e.g., recovery software, failover clusters, replication, etc.)."
S0158,"Skill in operating system administration. (e.g., account maintenance, data backups, maintain system performance, install and configure new hardware/software)."
S0159,Skill in configuring and validating network workstations and peripherals in accordance with approved standards and/or specifications.
S0160,"Skill in the use of design modeling (e.g., unified modeling language)."
S0162,"Skill in applying various subnet techniques (e.g., CIDR)"
S0164,Skill in assessing the application of cryptographic standards.
S0166,Skill in identifying gaps in technical delivery capabilities.
S0167,"Skill in recognizing vulnerabilities in security systems. (e.g., vulnerability and compliance scanning)."
S0168,Skill in setting up physical or logical sub-networks that separate an internal local area network (LAN) from other untrusted networks.
S0169,Skill in conducting trend analysis.
S0170,"Skill in configuring and utilizing computer protection components (e.g., hardware firewalls, servers, routers, as appropriate)."
S0171,Skill in performing impact/risk assessments.
S0172,Skill in applying secure coding techniques. 
S0173,Skill in using security event correlation tools.
S0174,Skill in using code analysis tools.
S0175,Skill in performing root cause analysis.
S0176,"Skill in administrative planning activities, to include preparation of functional and specific support plans, preparing and managing correspondence, and staffing procedures."
S0177,Skill in analyzing a target's communication networks.
S0178,"Skill in analyzing essential network data (e.g., router configuration files, routing protocols)."
S0179,Skill in analyzing language processing tools to provide feedback to enhance tool development.
S0181,Skill in analyzing midpoint collection data.
S0182,Skill in analyzing target communications internals and externals collected from wireless LANs.
S0183,Skill in analyzing terminal or environment collection data.
S0184,Skill in analyzing traffic to identify network devices.
S0185,Skill in applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action.
S0186,Skill in applying crisis planning procedures.
S0187,"Skill in applying various analytical methods, tools, and techniques (e.g., competing hypotheses; chain of reasoning; scenario methods; denial and deception detection; high impact-low probability; network/association or link analysis; Bayesian, Delphi, and Pattern analyses)."
S0188,"Skill in assessing a target's frame of reference (e.g., motivation, technical capability, organizational structure, sensitivities)."
S0189,Skill in assessing and/or estimating effects generated during and after cyber operations.
S0190,Skill in assessing current tools to identify needed improvements.
S0191,Skill in assessing the applicability of available analytical tools to various situations.
S0192,"Skill in auditing firewalls, perimeters, routers, and intrusion detection systems."
S0193,Skill in complying with the legal restrictions for targeted information.
S0194,Skill in conducting non-attributable research.
S0195,Skill in conducting research using all available sources.
S0196,Skill in conducting research using deep web.
S0197,"Skill in conducting social network analysis, buddy list analysis, and/or cookie analysis."
S0198,Skill in conducting social network analysis.
S0199,Skill in creating and extracting important information from packet captures.
S0200,Skill in creating collection requirements in support of data acquisition activities.
S0201,"Skill in creating plans in support of remote operations. (i.e., hot/warm/cold/alternative sites, disaster recovery)."
S0202,"Skill in data mining techniques (e.g., searching file systems) and analysis."
S0203,Skill in defining and characterizing all pertinent aspects of the operational environment.
S0204,Skill in depicting source or collateral data on a network map.
S0205,Skill in determining appropriate targeting options through the evaluation of available capabilities against desired effects.
S0206,Skill in determining installed patches on various operating systems and identifying patch signatures.
S0207,Skill in determining the effect of various router and firewall configurations on traffic patterns and network performance in both LAN and WAN environments.
S0208,Skill in determining the physical location of network devices.
S0209,Skill in developing and executing comprehensive cyber operations assessment programs for assessing and validating operational performance characteristics.
S0210,Skill in developing intelligence reports.
S0211,Skill in developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
S0212,Skill in disseminating items of highest intelligence value in a timely manner.
S0213,Skill in documenting and communicating complex technical and programmatic information.
S0214,Skill in evaluating accesses for intelligence value.
S0215,Skill in evaluating and interpreting metadata.
S0216,Skill in evaluating available capabilities against desired effects to provide effective courses of action.
S0217,"Skill in evaluating data sources for relevance, reliability, and objectivity."
S0218,"Skill in evaluating information for reliability, validity, and relevance."
S0219,"Skill in evaluating information to recognize relevance, priority, etc."
S0220,Skill in exploiting/querying organizational and/or partner collection databases.
S0221,Skill in extracting information from packet captures.
S0222,Skill in fusion analysis 
S0223,Skill in generating operation plans in support of mission and target requirements.
S0224,Skill in gisting target communications.
S0225,Skill in identifying a target’s communications networks.
S0226,Skill in identifying a target's network characteristics. 
S0227,Skill in identifying alternative analytical interpretations to minimize unanticipated outcomes.
S0228,"Skill in identifying critical target elements, to include critical target elements for the cyber domain."
S0229,Skill in identifying cyber threats which may jeopardize organization and/or partner interests.
S0231,Skill in identifying how a target communicates.
S0232,Skill in identifying intelligence gaps and limitations.
S0233,Skill in identifying language issues that may have an impact on organization objectives.
S0234,Skill in identifying leads for target development.
S0235,Skill in identifying non-target regional languages and dialects
S0236,Skill in identifying the devices that work at each level of protocol models.
S0237,"Skill in identifying, locating, and tracking targets via geospatial analysis techniques"
S0238,Skill in information prioritization as it relates to operations.
S0239,Skill in interpreting compiled and interpretive programming languages.
S0240,Skill in interpreting metadata and content as applied by collection systems.
S0241,"Skill in interpreting traceroute results, as they apply to network analysis and reconstruction. "
S0242,Skill in interpreting vulnerability scanner results to identify vulnerabilities.
S0243,"Skill in knowledge management, including technical documentation techniques (e.g., Wiki page)."
S0244,"Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results."
S0245,Skill in navigating network visualization software.
S0246,Skill in number normalization.
S0247,Skill in performing data fusion from existing intelligence for enabling new and continued collection.
S0248,Skill in performing target system analysis.
S0249,Skill in preparing and presenting briefings.
S0250,Skill in preparing plans and related correspondence.
S0251,Skill in prioritizing target language material.
S0252,Skill in processing collected data for follow-on analysis.
S0253,"Skill in providing analysis on target-related matters (e.g., language, cultural, communications)."
S0254,Skill in providing analysis to aid writing phased after action reports.
S0255,"Skill in providing real-time, actionable geolocation information utilizing target infrastructures."
S0256,"Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships."
S0257,"Skill in reading, interpreting, writing, modifying, and executing simple scripts (e.g., PERL, VBS) on Windows and Unix systems (e.g., those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data)."
S0258,Skill in recognizing and interpreting malicious network activity in traffic.
S0259,Skill in recognizing denial and deception techniques of the target.
S0260,Skill in recognizing midpoint opportunities and essential information.
S0261,Skill in recognizing relevance of information.
S0262,Skill in recognizing significant changes in a target’s communication patterns.
S0263,Skill in recognizing technical information that may be used for leads for metadata analysis.
S0264,"Skill in recognizing technical information that may be used for leads to enable remote operations (data includes users, passwords, email addresses, IP ranges of the target, frequency in DNI behavior, mail servers, domain servers, SMTP header information)."
S0265,Skill in recognizing technical information that may be used for target development including intelligence development. 
S0266,"Skill in relevant programming languages (e.g., C++, Python, etc.). "
S0267,Skill in remote command line and Graphic User Interface (GUI) tool usage.
S0268,Skill in researching essential information.
S0269,Skill in researching vulnerabilities and exploits utilized in traffic.
S0270,"Skill in reverse engineering (e.g., hex editing, binary packaging utilities, debugging, and strings analysis) to identify function and ownership of remote tools."
S0271,Skill in reviewing and editing assessment products.
S0272,Skill in reviewing and editing intelligence products from various sources for cyber operations.
S0273,Skill in reviewing and editing plans.
S0274,Skill in reviewing and editing target materials.
S0275,Skill in server administration.
S0276,"Skill in survey, collection, and analysis of wireless LAN metadata."
S0277,"Skill in synthesizing, analyzing, and prioritizing meaning across data sets."
S0278,"Skill in tailoring analysis to the necessary levels (e.g., classification and organizational)."
S0279,Skill in target development in direct support of collection operations.
S0280,"Skill in target network anomaly identification (e.g., intrusions, dataflow or processing, target implementation of new technologies)."
S0281,Skill in technical writing.
S0282,Skill in testing and evaluating tools for implementation.
S0283,Skill in transcribing target language communications.
S0284,Skill in translating target graphic and/or voice language materials.
S0285,Skill in using Boolean operators to construct simple and complex queries.
S0286,Skill in using databases to identify target-relevant information.
S0287,Skill in using geospatial data and applying geospatial resources.
S0288,"Skill in using multiple analytic tools, databases, and techniques (e.g., Analyst’s Notebook, A-Space, Anchory, M3, divergent/convergent thinking, link charts, matrices, etc.)."
S0289,"Skill in using multiple search engines (e.g., Google, Yahoo, LexisNexis, DataStar) and tools in conducting open-source searches."
S0290,Skill in using non-attributable networks.
S0291,"Skill in using research methods including multiple, different sources to reconstruct a target network."
S0292,Skill in using targeting databases and software packages.
S0293,"Skill in using tools, techniques, and procedures to remotely exploit and establish persistence on a target."
S0294,Skill in using trace route tools and interpreting the results as they apply to network analysis and reconstruction.
S0295,"Skill in using various open source data collection tools (online trade, DNS, mail, etc.)."
S0296,"Skill in utilizing feedback to improve processes, products, and services."
S0297,"Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint)."
S0298,"Skill in verifying the integrity of all files. (e.g., checksums, Exclusive OR, secure hashes, check constraints, etc.)."
S0299,"Skill in wireless network target analysis, templating, and geolocation."
S0300,Skill in writing (and submitting) requirements to meet gaps in technical capabilities.
S0301,"Skill in writing about facts and ideas in a clear, convincing, and organized manner."
S0302,Skill in writing effectiveness reports.
S0303,"Skill in writing, reviewing and editing cyber-related Intelligence/assessment products from multiple sources."
S0304,"Skill to access information on current assets available, usage."
S0305,Skill to access the databases where plans/directives/guidance are maintained.
S0306,Skill to analyze strategic guidance for issues requiring clarification and/or additional guidance.
S0307,Skill to analyze target or threat sources of strength and morale.
S0308,Skill to anticipate intelligence capability employment requirements.
S0309,Skill to anticipate key target or threat activities which are likely to prompt a leadership decision.
S0310,Skill to apply analytical standards to evaluate intelligence products.
S0311,"Skill to apply the capabilities, limitations and tasking methodologies of available platforms, sensors, architectures and apparatus as they apply to organization objectives."
S0312,Skill to apply the process used to assess the performance and impact of cyber operations.
S0313,"Skill to articulate a needs statement/requirement and integrate new and emerging collection capabilities, accesses and/or processes into collection operations."
S0314,Skill to articulate intelligence capabilities available to support execution of the plan.
S0315,Skill to articulate the needs of joint planners to all-source analysts.
S0316,Skill to associate Intelligence gaps to priority information requirements and observables.
S0317,Skill to compare indicators/observables with requirements.
S0318,Skill to conceptualize the entirety of the intelligence process in the multiple domains and dimensions.
S0319,Skill to convert intelligence requirements into intelligence production tasks.
S0320,Skill to coordinate the development of tailored intelligence products.
S0321,Skill to correlate intelligence priorities to the allocation of intelligence resources/assets.
S0322,Skill to craft indicators of operational progress/success.
S0323,Skill to create and maintain up-to-date planning documents and tracking of services/production.
S0324,Skill to determine feasibility of collection.
S0325,Skill to develop a collection plan that clearly shows the discipline that can be used to collect the information needed.
S0326,Skill to distinguish between notional and actual resources and their applicability to the plan under development.
S0327,Skill to ensure that the collection strategy leverages all available resources. 
S0328,"Skill to evaluate factors of the operational environment to objectives, and information requirements."
S0329,Skill to evaluate requests for information to determine if response information exists.
S0330,"Skill to evaluate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities. "
S0331,Skill to express orally and in writing the relationship between intelligence capability limitations and decision-making risk and impacts on the overall operation.
S0332,Skill to extract information from available tools and applications associated with collection requirements and collection operations management.
S0333,Skill to graphically depict decision support materials containing intelligence and partner capability estimates.
S0334,"Skill to identify and apply tasking, collection, processing, exploitation and dissemination to associated collection disciplines. "
S0335,Skill to identify Intelligence gaps.
S0336,Skill to identify when priority information requirements are satisfied.
S0337,Skill to implement established procedures for evaluating collection management and operations activities.
S0338,Skill to interpret planning guidance to discern level of analytical support required.
S0339,"Skill to interpret readiness reporting, its operational relevance and intelligence collection impact."
S0340,Skill to monitor target or threat situation and environmental factors.
S0341,Skill to monitor threat effects to partner capabilities and maintain a running estimate.
S0342,"Skill to optimize collection system performance through repeated adjustment, testing, and re-adjustment."
S0343,"Skill to orchestrate intelligence planning teams, coordinate collection and production support, and monitor status."
